Type,File Name,Path,Size (bytes),Last Modified,Field Name,Field Type,Function,Route
default,backendOverview.js,backendOverview.js,7654,2025-07-29T17:59:08.179Z,,,,
default,db.js,config\db.js,283,2025-07-28T09:43:58.855Z,,,,
controller,address.controller.js,controllers\address.controller.js,2410,2025-07-28T09:43:58.861Z,,,getAddresses,
controller,address.controller.js,controllers\address.controller.js,2410,2025-07-28T09:43:58.861Z,,,addAddress,
controller,address.controller.js,controllers\address.controller.js,2410,2025-07-28T09:43:58.861Z,,,updateAddress,
controller,address.controller.js,controllers\address.controller.js,2410,2025-07-28T09:43:58.861Z,,,deleteAddress,
controller,address.controller.js,controllers\address.controller.js,2410,2025-07-28T09:43:58.861Z,,,setDefaultAddress,
controller,attribute.controller.js,controllers\attribute.controller.js,3533,2025-07-29T10:56:09.974Z,,,createAttribute,
controller,attribute.controller.js,controllers\attribute.controller.js,3533,2025-07-29T10:56:09.974Z,,,createAttributeValue,
controller,attribute.controller.js,controllers\attribute.controller.js,3533,2025-07-29T10:56:09.974Z,,,getAttributesWithValues,
controller,brand.controller.js,controllers\brand.controller.js,4204,2025-07-28T09:43:58.864Z,,,createBrand,
controller,brand.controller.js,controllers\brand.controller.js,4204,2025-07-28T09:43:58.864Z,,,getAllBrands,
controller,brand.controller.js,controllers\brand.controller.js,4204,2025-07-28T09:43:58.864Z,,,getBrandById,
controller,brand.controller.js,controllers\brand.controller.js,4204,2025-07-28T09:43:58.864Z,,,updateBrand,
controller,brand.controller.js,controllers\brand.controller.js,4204,2025-07-28T09:43:58.864Z,,,deleteBrand,
controller,cart.controller.js,controllers\cart.controller.js,4715,2025-07-28T09:43:58.868Z,,,addToCart,
controller,cart.controller.js,controllers\cart.controller.js,4715,2025-07-28T09:43:58.868Z,,,getCartItems,
controller,cart.controller.js,controllers\cart.controller.js,4715,2025-07-28T09:43:58.868Z,,,addToWishlist,
controller,cart.controller.js,controllers\cart.controller.js,4715,2025-07-28T09:43:58.868Z,,,getWishlist,
controller,cart.controller.js,controllers\cart.controller.js,4715,2025-07-28T09:43:58.868Z,,,deleteWishlistById,
controller,category.controller.js,controllers\category.controller.js,11233,2025-07-28T09:43:58.872Z,,,createCategory,
controller,category.controller.js,controllers\category.controller.js,11233,2025-07-28T09:43:58.872Z,,,getAllCategories,
controller,category.controller.js,controllers\category.controller.js,11233,2025-07-28T09:43:58.872Z,,,getCategoryById,
controller,category.controller.js,controllers\category.controller.js,11233,2025-07-28T09:43:58.872Z,,,updateCategory,
controller,category.controller.js,controllers\category.controller.js,11233,2025-07-28T09:43:58.872Z,,,deleteCategory,
controller,customer.controller.js,controllers\customer.controller.js,2297,2025-07-28T09:43:58.873Z,,,createCustomer,
controller,customer.controller.js,controllers\customer.controller.js,2297,2025-07-28T09:43:58.873Z,,,getAllCustomers,
controller,customer.controller.js,controllers\customer.controller.js,2297,2025-07-28T09:43:58.873Z,,,getCustomerById,
controller,customer.controller.js,controllers\customer.controller.js,2297,2025-07-28T09:43:58.873Z,,,updateCustomer,
controller,customer.controller.js,controllers\customer.controller.js,2297,2025-07-28T09:43:58.873Z,,,deleteCustomer,
controller,feature.controller.js,controllers\feature.controller.js,5947,2025-07-28T09:43:58.875Z,,,createFeature,
controller,feature.controller.js,controllers\feature.controller.js,5947,2025-07-28T09:43:58.875Z,,,addFeatureValue,
controller,feature.controller.js,controllers\feature.controller.js,5947,2025-07-28T09:43:58.875Z,,,getCategoryFilters,
controller,feature.controller.js,controllers\feature.controller.js,5947,2025-07-28T09:43:58.875Z,,,applyFilters,
controller,homepage.controller.js,controllers\homepage.controller.js,39009,2025-07-28T09:43:58.879Z,,,getHomepageContent,
controller,homepage.controller.js,controllers\homepage.controller.js,39009,2025-07-28T09:43:58.879Z,,,createHomepageContent,
controller,homepage.controller.js,controllers\homepage.controller.js,39009,2025-07-28T09:43:58.879Z,,,updateHomepageContent,
controller,homepage.controller.js,controllers\homepage.controller.js,39009,2025-07-28T09:43:58.879Z,,,updateHomepageContent,
controller,homepage.controller.js,controllers\homepage.controller.js,39009,2025-07-28T09:43:58.879Z,,,updateHomepageContent,
controller,media.controller.js,controllers\media.controller.js,3211,2025-07-28T09:43:58.881Z,,,getAllMedia,
controller,media.controller.js,controllers\media.controller.js,3211,2025-07-28T09:43:58.881Z,,,getMediaById,
controller,media.controller.js,controllers\media.controller.js,3211,2025-07-28T09:43:58.881Z,,,deleteMedia,
controller,media.controller.js,controllers\media.controller.js,3211,2025-07-28T09:43:58.881Z,,,updateMediaTitle,
controller,order.controller.js,controllers\order.controller.js,9516,2025-07-28T09:43:58.883Z,,,createRazorpayOrder,
controller,order.controller.js,controllers\order.controller.js,9516,2025-07-28T09:43:58.883Z,,,verifyRazorpayPayment,
controller,order.controller.js,controllers\order.controller.js,9516,2025-07-28T09:43:58.883Z,,,placeOrder,
controller,order.controller.js,controllers\order.controller.js,9516,2025-07-28T09:43:58.883Z,,,getAllOrders,
controller,order.controller.js,controllers\order.controller.js,9516,2025-07-28T09:43:58.883Z,,,getAllOrdersForSingleUser,
controller,order.controller.js,controllers\order.controller.js,9516,2025-07-28T09:43:58.883Z,,,getOrderById,
controller,order.controller.js,controllers\order.controller.js,9516,2025-07-28T09:43:58.883Z,,,deleteOrderById,
controller,order.controller.js,controllers\order.controller.js,9516,2025-07-28T09:43:58.883Z,,,updateOrderStatus,
controller,order.controller.js,controllers\order.controller.js,9516,2025-07-28T09:43:58.883Z,,,getOrdersByUser,
controller,product.controller.js,controllers\product.controller.js,20228,2025-07-29T17:45:15.340Z,,,createProduct,
controller,product.controller.js,controllers\product.controller.js,20228,2025-07-29T17:45:15.340Z,,,getProductById,
controller,product.controller.js,controllers\product.controller.js,20228,2025-07-29T17:45:15.340Z,,,getProductBySlug,
controller,product.controller.js,controllers\product.controller.js,20228,2025-07-29T17:45:15.340Z,,,searchProducts,
controller,product.controller.js,controllers\product.controller.js,20228,2025-07-29T17:45:15.340Z,,,getAllProducts,
controller,product.controller.js,controllers\product.controller.js,20228,2025-07-29T17:45:15.340Z,,,updateProduct,
