pin,taluk,city,state,isServiceable
110001,New Delhi,Central Delhi,DELHI,true
110002,New Delhi,Central Delhi,DELHI,true
110003,Delhi,Central Delhi,DELHI,true
110004,New Delhi,Central Delhi,DELHI,true
110005,New Delhi,Central Delhi,DELHI,true
110006,Delhi,Central Delhi,DELHI,true
110007,Delhi,North Delhi,DELHI,true
110008,New Delhi,Central Delhi,DELHI,true
110009,Delhi,North West Delhi,DELHI,true
110010,,South West Delhi,DELHI,true
110011,New Delhi,Central Delhi,DELHI,true
110012,New Delhi,Central Delhi,DELHI,true
110013,New Delhi,South Delhi,DELHI,true
110014,New Delhi,South Delhi,DELHI,true
110015,New Delhi,West Delhi,DELHI,true
110016,,South West Delhi,DELHI,true
110017,New Delhi,South Delhi,DELHI,true
110018,New Delhi,West Delhi,DELHI,true
110019,New Delhi,South Delhi,DELHI,true
110020,New Delhi,New Delhi,DELHI,true
110021,,South West Delhi,DELHI,true
110022,,South West Delhi,DELHI,true
110023,Delhi,South West Delhi,DELHI,true
110024,New Delhi,South Delhi,DELHI,true
110025,New Delhi,South Delhi,DELHI,true
110026,New Delhi,West Delhi,DELHI,true
110027,New Delhi,West Delhi,DELHI,true
110028,New Delhi,South West Delhi,DELHI,true
110029,New Delhi,New Delhi,DELHI,true
110030,,South West Delhi,DELHI,true
110031,,East Delhi,DELHI,true
110032,,East Delhi,DELHI,true
110033,Delhi,North West Delhi,DELHI,true
110034,Delhi,North West Delhi,DELHI,true
110035,Delhi,North West Delhi,DELHI,true
110036,Delhi,North West Delhi,DELHI,true
110037,,South West Delhi,DELHI,true
110038,,South West Delhi,DELHI,true
110039,Delhi,North West Delhi,DELHI,true
110040,Delhi,North West Delhi,DELHI,true
110041,New Delhi,West Delhi,DELHI,true
110042,Delhi,North West Delhi,DELHI,true
110043,New Delhi,South West Delhi,DELHI,true
110044,New Delhi,South Delhi,DELHI,true
110045,New Delhi,South West Delhi,DELHI,true
110046,New Delhi,South West Delhi,DELHI,true
110047,,South West Delhi,DELHI,true
110048,New Delhi,South Delhi,DELHI,true
110049,New Delhi,South Delhi,DELHI,true
110051,,East Delhi,DELHI,true
110052,Delhi,North West Delhi,DELHI,true
110053,,East Delhi,DELHI,true
110054,Delhi,North Delhi,DELHI,true
110055,New Delhi,Central Delhi,DELHI,true
110056,Delhi,North West Delhi,DELHI,true
110057,,South West Delhi,DELHI,true
110058,New Delhi,West Delhi,DELHI,true
110059,New Delhi,West Delhi,DELHI,true
110060,New Delhi,Central Delhi,DELHI,true
110061,,South West Delhi,DELHI,true
110062,New Delhi,South Delhi,DELHI,true
110063,New Delhi,West Delhi,DELHI,true
